"tasainm";"tasaem";"tasaact";"tasaemp";"tasaparo";"ipc";"pibpc"
5.119569;5.750006;59.35;39.03;34.23;100.736;16521.48315
8.923154;9.400895;58.68;47.73;18.65;100.981;24646.14319
6.237551;7.617976;51.63;40.9;20.78;100.756;19505.31923
15.192307;11.927219;63.23;51.29;18.88;100.241;23438.19009
7.97523;6.965184;61.55;42.42;31.08;101.041;18758.60508
9.136823;9.981571;56.16;45.82;18.42;101.226;20362.67315
7.949642;10.644586;54.91;43.77;20.28;101.311;20876.86517
12.401142;16.596133;58.73;41.99;28.5;101.492;17265.45076
5.451834;5.084221;62.61;50.16;19.88;100.113;26584.50632
7.103287;7.137555;58.96;45.11;23.48;100.847;19656.33335
7.566919;9.788992;55.5;38.87;29.96;101.115;15223.91754
4.663007;5.375503;53.47;42.31;20.87;101.024;19663.66006
11.45574;9.00298;64.82;53.15;18;100.733;30637.71434
8.901316;8.715984;61.08;44.43;27.26;100.829;18155.3182
9.699008;8.629264;59.55;50.66;14.92;100.622;28039.58648
7.530449;5.961146;57.76;48.17;16.6;100.253;29514.38923
11.870808;12.903135;59.19;49.03;17.17;100.748;24309.07673
20.172339;26.074395;60.82;41.08;32.46;100.922;18280.82742
27.724255;26.379523;55.65;39.23;29.52;100.623;16669.70273
